tconst,primaryTitle,titleType,genres,averageRating,numVotes,country,rt_rating,mc_rating
tt7221896,Cumali Ceber,movie,Comedy,1.0,38506.0,Turkey,,
tt5013984,Gully,movie,"Crime,Drama",1.2,17023.0,USA,26,
tt6038600,Smolensk,movie,"Drama,Thriller",1.2,38421.0,Poland,,
tt4009460,Kirk Cameron's Saving Christmas,movie,"Comedy,Family",1.4,15596.0,USA,0,18
tt5988370,Reis,movie,"Biography,Drama",1.4,73173.0,Turkey,,
tt0249516,Foodfight!,movie,"Action,Adventure,Animation",1.6,10494.0,USA,,
tt0808240,Turks in Space,movie,"Action,Comedy,Sci-Fi",1.6,16126.0,Turkey,,
tt0421051,Daniel the Wizard,movie,"Comedy,Crime,Fantasy",1.7,14260.0,Germany,,
tt0096870,Going Overboard,movie,Comedy,1.8,13219.0,USA,,
tt0417056,Pledge This!,movie,Comedy,1.8,18227.0,"USA, Mexico",0,
tt1316037,Birdemic: Shock and Terror,movie,"Horror,Thriller",1.8,22629.0,USA,18,
tt0060666,Manos: The Hands of Fate,movie,"Drama,Horror",1.8,35796.0,USA,0,
tt0270846,Superbabies: Baby Geniuses 2,movie,"Comedy,Family,Sci-Fi",1.9,30715.0,"Germany, UK, USA",0,9
tt0804492,The Hottie & the Nottie,movie,"Comedy,Romance",1.9,37993.0,USA,6,7
tt1213644,Disaster Movie,movie,"Comedy,Sci-Fi",1.9,89738.0,USA,1,15
tt8402090,Cumali Ceber 2,movie,Comedy,2.0,10743.0,Turkey,,
tt1520498,The Oogieloves in the Big Balloon Adventure,movie,"Adventure,Family,Fantasy",2.0,15160.0,USA,30,32
tt4458206,Code Name: K.O.Z.,movie,"Crime,Mystery",2.0,27514.0,Turkey,,
tt0339034,From Justin to Kelly,movie,"Comedy,Musical,Romance",2.1,26329.0,USA,8,14
tt0317676,House of the Dead,movie,"Action,Adventure,Horror",2.1,36883.0,"Germany, Canada, USA",3,15
tt0059464,Monster a Go-Go,movie,"Horror,Sci-Fi",2.2,11381.0,USA,,
tt0054673,The Beast of Yucca Flats,movie,"Horror,Sci-Fi",2.2,11463.0,USA,,
tt0785077,Who's Your Caddy?,movie,"Comedy,Sport",2.2,14957.0,USA,6,18
tt0362165,Son of the Mask,movie,"Comedy,Family,Fantasy",2.2,54894.0,"USA, Germany, Australia, France",6,20
tt0089280,Hobgoblins,movie,"Comedy,Horror,Sci-Fi",2.3,12820.0,USA,,
tt0118589,Glitter,movie,"Drama,Music,Romance",2.3,23288.0,USA,6,14
tt0369226,Alone in the Dark,movie,"Action,Horror,Sci-Fi",2.4,45160.0,"Canada, Germany, USA",1,9
tt0799949,Epic Movie,movie,"Adventure,Comedy,Fantasy",2.4,104049.0,USA,2,17
tt0299930,Gigli,movie,"Comedy,Crime,Romance",2.5,48231.0,USA,,18
tt1098327,Dragonball Evolution,movie,"Action,Adventure,Fantasy",2.5,72574.0,"USA, Mexico, Japan, Hong Kong, UK",15,45
tt0185183,Battlefield Earth,movie,"Action,Adventure,Sci-Fi",2.5,79025.0,USA,3,9
tt0058548,Santa Claus Conquers the Martians,movie,"Adventure,Comedy,Family",2.7,11458.0,USA,22,
