tconst,rt_rating,mc_rating
tt7221896,,
tt5013984,26,
tt6038600,,
tt4009460,0,18
tt5988370,,
tt0249516,,
tt0808240,,
tt0421051,,
tt0096870,,
tt0417056,0,
tt1316037,18,
tt0060666,0,
tt0270846,0,9
tt0804492,6,7
tt1213644,1,15
tt8402090,,
tt1520498,30,32
tt4458206,,
tt0339034,8,14
tt0317676,3,15
tt0059464,,
tt0054673,,
tt0785077,6,18
tt0362165,6,20
tt0089280,,
tt0118589,6,14
tt0369226,1,9
tt0799949,2,17
tt0299930,,18
tt1098327,15,45
tt0185183,3,9
tt0058548,22,
tt1883367,19,5
tt0118665,2,6
tt5697572,19,32
tt0466342,7,11
tt1073498,2,9
tt0120207,12,28
tt0383222,4,18
tt2610768,,
tt0118539,0,44
tt4867110,,
tt0116756,5,24
tt0105643,5,
tt0093300,0,15
tt0400426,,
tt0246894,69,14
tt2467046,0,12
tt1411664,3,9
tt0110647,,
tt0103923,13,
tt0462244,1,13
tt2403029,0,
tt0804452,10,21
tt5690360,8,30
tt7608028,13,
tt6439558,,
tt0065832,14,23
tt11656172,0,
tt0110978,16,50
tt4877122,6,12
tt10886166,0,
tt0810913,3,23
tt3053228,13,
tt0094118,8,8
tt10481868,40,49
tt0095560,7,26
tt0295254,3,16
tt0295427,1,12
tt0115624,28,40
tt0329028,10,19
tt1666186,4,18
tt0327554,9,27
tt0157262,,
tt1153706,18,40
tt0462395,5,21
tt3138104,,
tt4667094,4,28
tt0372873,29,33
tt1517489,23,37
tt0795461,4,11
tt0800003,5,17
tt1185266,14,
tt1231277,13,
tt7312940,,
tt0291502,5,18
tt0897361,9,16
tt0110857,0,11
tt0120185,36,32
tt0275022,15,27
tt1552211,0,15
tt0806147,,
tt3477064,,
tt0308208,0,19
tt0158622,25,27
tt0190374,10,14
tt0424774,20,38
tt0432291,4,27
tt1714203,13,24
tt0085750,11,27
tt0094074,10,24
tt0119707,4,11
tt0450345,,36
tt0368226,24,9
tt2292959,21,36
tt0106761,12,
tt0094824,4,7
tt0492389,,23
tt1014775,40,41
tt0076009,10,39
tt0180052,6,12
tt1530509,29,17
tt0118661,5,12
tt0460780,4,15
tt0811138,13,24
tt0118688,12,28
tt0160236,16,44
tt1712159,7,26
tt1139592,17,
tt0365957,,37
tt6513656,8,
tt1255919,10,24
tt0926129,9,17
tt7668842,,
tt0120179,4,23
tt0200469,17,23
tt4600952,33,
tt0119718,7,18
tt2034139,15,35
tt5913798,47,51
tt1577061,,
tt0433412,4,17
tt1633356,18,22
tt0479968,0,24
tt0229260,14,15
tt0052077,66,56
tt0220506,12,19
tt0111301,11,34
tt0312528,10,19
tt0938283,5,20
tt4382872,6,25
tt10303324,14,26
tt7869070,16,18
tt0120604,0,
tt2752758,18,34
tt0960890,38,45
tt1433822,3,18
tt0329691,22,41
tt0107978,6,40
tt0108255,28,35
tt0477051,9,27
tt2322441,24,46
tt5669936,0,
tt6609088,,
tt5159414,,
tt0120786,20,
tt9625664,,
tt1519461,13,30
tt3704538,33,38
tt3480796,4,17
tt0318081,6,24
tt4030600,18,37
tt3089630,8,31
tt0176269,5,24
tt0357507,14,32
tt0107254,16,17
tt1560985,5,18
tt1620680,42,53
tt0102034,0,31
tt0141369,20,36
tt1043726,5,22
tt1502712,9,27
tt1935302,17,42
tt0790804,9,25
tt0396592,23,39
tt0113010,12,13
tt3838992,24,23
tt0961722,,
tt0167456,19,36
tt7456312,5,35
tt6494418,12,34
tt4019560,8,23
tt1392197,9,30
tt0997047,12,36
tt0131646,10,21
tt0192731,9,16
tt1373215,,
tt2309260,14,30
tt0422774,8,36
tt3612126,20,41
tt1615918,12,24
tt0105477,11,
tt0338459,45,57
tt1333125,4,18
tt1071875,18,34
tt4083572,0,
tt3774790,22,
tt2314824,0,18
tt8400758,0,22
tt4824308,10,22
tt6772804,25,
tt1287468,13,30
tt0393735,26,43
tt9419834,28,
tt0383060,4,26
tt1748197,,
tt0088206,9,41
tt2167202,3,22
tt0775440,11,38
tt0120841,9,19
tt0107438,0,26
tt0098105,0,16
tt0257568,,16
tt0084021,34,52
tt3450650,6,13
tt0430912,6,26
tt0144528,26,38
