averageRating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1.0,,,,,0.0,,,,,,,,,,,,,,
1.2,,,,,,0.1,0.0,,,,,,,,,,0.1,,
1.4,,,,0.2,0.1,,0.1,0.2,,,,,,,,,,,
1.6,0.1,0.1,0.2,,0.1,,,,,,,,,,0.2,,,,
1.7,,,,,0.1,0.1,,,0.1,,,,,,,,,,
1.8,,,,,0.2,,0.1,,,,0.1,,,,,,0.1,,
1.9,,,,,0.2,,,0.5,,,,,,0.1,0.4,,,,
2.0,,0.1,,,0.3,0.2,,0.7,0.3,,,,0.1,,,,,,
2.1,0.2,0.2,,,0.3,,,,,,0.3,1.2,,0.1,,,,,
2.2,,,,,0.4,,,1.0,0.4,,0.4,,,,0.7,0.6,,,
2.3,,,,,0.4,,0.1,,,,0.5,,,0.2,0.9,,,,
2.4,0.2,0.3,,,0.5,,,,0.6,,0.6,,,,1.1,,,,
2.5,0.3,0.4,,,0.5,0.2,,,0.7,,,,,0.3,1.2,,,,
2.7,,0.5,,,0.6,0.3,0.1,1.4,,,0.7,,,,,,,,
2.8,,,,,0.7,,,,0.9,,,,,0.3,,,,,
2.9,0.4,0.5,,,0.7,0.3,,,1.0,,0.8,,,0.4,,,,,
3.0,0.4,0.6,,,0.8,,,1.9,1.2,,1.0,,,0.5,,,0.2,,
3.1,0.5,0.7,,,,,,,1.4,,,,,,1.6,1.2,,,
3.2,0.6,0.8,,,0.9,,,2.4,,,1.1,,0.2,,1.9,,0.3,,
3.3,0.7,1.0,0.5,,1.1,,0.2,,1.6,,1.3,,,0.5,,,0.4,,
3.4,0.8,1.1,,,1.2,0.4,0.2,3.0,1.9,,1.5,,0.3,,2.2,,0.6,,
3.5,0.9,1.2,0.7,,1.4,,0.2,,2.2,,,,,0.6,2.3,,,,
3.6,1.1,1.4,,,1.6,0.5,0.2,3.3,2.4,,1.8,,0.5,0.7,2.5,,0.7,,
3.7,1.2,1.6,,,1.7,0.6,0.3,3.6,2.7,,2.0,,0.8,0.8,2.7,,0.8,,
3.8,1.5,1.9,,,1.9,,0.3,3.8,2.9,,2.3,,,0.9,3.1,2.0,0.9,,
3.9,1.7,2.1,,,2.0,0.7,0.4,4.0,,,2.5,,1.2,0.9,,,,,
4.0,1.8,2.4,,,2.2,,0.4,4.6,3.0,,3.0,,1.5,1.0,3.5,,1.1,,
4.1,2.0,2.6,,,2.3,0.9,0.4,5.2,3.2,,3.5,,1.6,1.1,3.8,,1.4,,
4.2,2.4,2.9,,,2.4,,0.4,5.6,3.7,,4.1,,1.9,1.2,4.3,,1.7,,
4.3,2.8,3.3,0.9,,2.6,1.1,0.5,6.2,4.5,,4.7,,2.2,1.3,4.7,2.9,2.1,,
4.4,3.4,3.7,,,3.0,1.3,0.6,6.8,5.0,,5.1,2.3,2.5,1.5,5.2,,2.5,,
4.5,4.0,4.1,1.4,,3.5,1.8,0.8,7.1,5.3,,5.6,,2.8,1.8,5.9,,3.1,0.5,
4.6,4.7,4.5,1.9,,3.9,2.2,1.0,7.4,5.7,,6.5,,3.2,2.0,6.4,3.5,3.7,,
4.7,5.3,5.1,2.1,0.4,4.4,2.6,1.3,8.0,6.3,,7.8,,3.9,2.4,6.9,,4.3,,
4.8,6.0,5.9,2.5,,5.1,3.0,1.6,8.8,7.3,,9.4,,4.8,2.9,7.7,,5.2,,
4.9,6.8,6.8,2.8,,5.9,3.5,1.8,9.9,8.7,,11.1,,5.5,3.4,8.5,,6.1,,
5.0,7.5,7.5,3.3,,6.7,4.0,2.1,11.3,9.7,,12.6,,6.5,3.8,8.9,,7.0,1.0,
