rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
1.0,,,,,0.0,,,,,,,,,,,,,,
5.0,,,,,0.1,,,,,,0.1,,,,,,,,
6.0,,,,,0.1,0.1,,0.3,,,,,,,,,,,
7.0,,,,,0.2,,,,,,,,,0.1,,0.6,,,
8.0,,,,,0.2,,,,0.2,,,,,,,,,,
9.0,0.1,0.1,,,0.3,,0.0,0.6,0.3,,0.3,,,,0.4,,,,
10.0,,,,0.2,,,0.0,,,,0.4,,,,,,0.1,,
11.0,0.2,0.2,,,0.5,0.2,0.1,0.8,0.5,,,,,0.3,,,,,
12.0,0.3,0.4,0.3,,0.7,,0.1,1.1,0.7,,,,,0.4,0.9,,,,
13.0,0.5,,,,0.9,0.3,0.2,1.4,,,0.6,,,0.6,,,0.2,,
14.0,0.7,0.6,,,1.1,,0.2,,0.9,,0.7,1.3,,0.8,1.3,1.3,0.3,,
15.0,0.9,0.9,,,1.3,0.4,0.2,,1.3,,1.0,,,1.0,1.4,,0.4,,
16.0,1.0,1.2,,,1.6,0.6,0.3,,1.5,,1.5,,0.3,,,,0.6,,
17.0,1.2,1.4,,,1.9,0.9,0.4,1.6,1.9,,2.2,,0.7,1.2,1.6,,1.0,,
18.0,1.6,1.6,,,2.3,1.2,0.5,2.0,2.4,,3.0,,1.0,1.5,1.8,1.9,1.3,,
19.0,2.0,1.9,,,2.6,1.5,0.6,2.6,2.7,,3.6,,1.3,1.8,2.3,,1.8,,
20.0,2.2,2.1,0.6,,2.9,1.8,0.7,3.1,2.9,,4.0,,1.5,2.0,,,2.1,,
21.0,2.4,2.3,,0.4,3.2,1.9,0.8,3.6,3.3,,4.4,,1.7,2.4,2.9,,2.2,,
22.0,3.0,2.7,,,3.7,2.3,1.0,3.8,3.7,,5.0,,2.2,3.0,3.2,2.5,2.6,,
23.0,3.7,3.1,0.8,,4.3,3.0,1.2,4.1,4.5,,5.6,2.6,2.7,3.3,3.4,3.2,3.1,,
24.0,4.3,3.4,1.1,0.6,4.8,3.6,1.4,4.6,5.5,,6.4,,3.6,3.6,4.1,3.8,3.7,,
25.0,5.1,3.8,1.4,0.9,5.5,4.2,1.7,5.2,6.3,,7.4,,4.7,4.1,4.9,4.7,4.5,,1.2
26.0,5.8,4.1,,,6.1,4.6,2.1,5.7,6.9,,8.3,,5.6,4.6,5.4,5.7,5.4,0.6,
27.0,6.5,4.6,1.8,1.1,6.8,5.0,2.4,6.8,7.4,0.4,9.5,,6.2,5.5,6.0,6.3,6.2,,
28.0,7.5,5.3,2.6,1.3,7.7,5.5,2.7,7.6,8.2,,10.6,,6.7,6.5,7.0,7.0,7.0,,
29.0,8.5,6.1,3.1,1.5,8.2,6.0,3.1,7.9,9.4,,11.5,,7.3,7.1,7.7,7.6,7.9,1.3,
30.0,9.5,6.9,3.4,1.9,9.0,6.7,3.6,8.6,10.8,1.2,12.9,,8.5,7.7,8.3,8.5,9.0,2.3,
31.0,10.7,7.5,3.7,,10.2,7.9,4.2,9.3,12.6,,14.7,3.8,10.0,8.4,8.9,9.8,10.3,3.2,
32.0,11.8,8.4,,2.3,11.3,8.9,4.7,10.0,14.2,2.1,16.1,5.1,11.1,9.2,9.8,11.1,11.4,,
33.0,13.2,9.4,4.0,2.5,12.4,9.8,5.3,11.8,15.6,2.5,17.4,6.4,11.9,10.2,11.3,12.0,12.3,3.9,2.4
34.0,14.9,10.6,4.6,2.6,13.7,10.9,6.0,13.9,17.5,,19.2,,13.1,11.5,12.9,,13.7,4.8,
35.0,16.6,12.2,5.7,2.9,14.8,12.0,6.6,15.3,19.2,,21.0,,14.2,12.4,14.7,13.0,15.1,,
36.0,18.4,13.5,6.6,3.3,15.9,13.4,7.4,16.9,20.7,3.1,22.5,,15.8,13.6,16.7,13.9,16.4,,
37.0,20.4,14.7,7.3,3.7,17.3,14.9,8.4,18.6,22.1,3.9,24.0,,17.6,14.8,18.3,14.9,17.8,6.5,3.6
38.0,22.2,16.1,8.3,4.1,18.7,16.3,9.3,19.8,23.5,5.0,25.7,,19.0,15.8,19.5,16.8,19.4,,
