rating,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
0.0,0.5,0.3,,0.2,0.3,0.5,0.2,0.6,0.5,,0.5,,0.6,0.4,0.5,,0.3,,
1.0,1.0,0.6,,,0.7,1.0,0.3,1.4,,,1.0,,1.2,,1.1,,,,
2.0,1.0,0.7,,,0.9,1.1,,1.8,1.0,,,,,,,,,,
3.0,1.2,0.9,,,1.0,1.3,0.4,,,,1.2,,,0.8,1.3,,0.7,,
4.0,1.6,1.2,0.4,0.4,1.3,1.5,0.4,2.0,1.7,,1.8,,1.5,1.0,1.5,0.9,1.1,,
5.0,2.1,1.6,,,1.9,1.8,0.5,2.6,2.5,,2.3,,1.8,1.3,1.9,1.8,1.4,,1.0
6.0,2.4,2.0,0.8,,2.5,2.1,0.6,3.8,3.0,,2.5,,2.1,1.7,2.4,2.4,1.7,0.5,
7.0,2.7,2.2,,0.6,3.0,2.4,0.8,4.8,3.5,,2.9,,2.7,2.2,2.7,,2.0,1.0,
8.0,3.2,2.6,,0.9,3.6,2.9,1.1,5.6,4.4,0.4,3.5,1.2,3.5,2.9,2.8,3.3,2.6,,
9.0,3.9,3.1,,1.1,4.3,3.5,1.3,6.4,5.1,,4.4,,4.4,3.5,3.2,4.2,3.2,,
10.0,4.6,3.7,,,5.0,4.1,1.6,6.9,5.9,0.7,5.5,,5.5,4.0,3.8,4.8,4.0,,
11.0,5.6,4.4,1.0,,5.7,4.8,2.0,7.3,6.9,1.1,6.4,,6.5,4.6,4.4,5.4,4.9,,
12.0,6.8,5.4,1.7,,6.4,5.5,2.4,7.9,7.6,1.4,7.4,2.4,7.3,5.3,5.3,6.0,5.8,,
13.0,7.9,6.3,2.5,1.3,7.2,6.1,2.8,8.8,8.2,,8.6,,7.9,6.0,6.6,6.9,6.6,1.6,
14.0,8.8,7.1,3.0,1.6,8.4,6.7,3.2,9.8,9.2,1.8,9.7,,8.8,6.9,7.6,8.4,7.4,,2.0
15.0,9.8,8.1,3.5,,9.5,7.3,3.7,10.9,10.5,,10.7,3.6,9.7,7.8,8.1,,8.4,2.4,2.9
16.0,10.8,8.8,3.9,1.8,10.2,8.0,4.1,11.7,11.5,2.3,11.5,,10.2,8.5,9.0,9.6,9.1,3.1,
17.0,11.9,9.4,,2.0,10.9,8.8,4.7,12.3,12.9,3.0,12.4,,11.0,9.2,10.1,10.2,9.9,3.7,
18.0,13.2,10.1,4.6,2.5,11.7,9.6,5.1,12.8,14.4,,13.7,,12.1,9.8,11.3,,10.7,,
19.0,14.2,10.6,5.4,2.8,12.5,10.5,5.5,13.4,15.0,,14.9,4.8,12.9,10.6,12.4,,11.6,4.2,
20.0,15.2,11.3,5.9,3.2,13.4,11.1,6.0,14.7,15.7,,15.7,,13.6,11.5,13.4,,12.4,5.0,
21.0,16.2,12.3,6.8,3.6,14.2,11.9,6.5,15.8,16.7,3.6,16.4,,14.4,12.1,14.1,10.8,13.2,,
22.0,17.3,13.2,7.9,3.7,15.0,13.0,7.1,16.4,17.6,,17.0,,15.4,12.7,15.0,11.8,14.0,5.8,3.9
23.0,18.3,13.9,8.8,3.9,15.9,14.1,7.6,17.2,18.4,3.9,17.9,,16.5,13.4,15.9,13.0,14.8,6.3,
24.0,18.9,14.2,9.3,4.1,16.6,14.9,8.1,18.3,19.3,4.5,18.7,6.0,17.5,14.1,16.4,13.9,15.6,,
25.0,19.7,14.8,9.7,4.3,17.4,15.4,8.6,19.2,20.5,5.4,19.2,,18.3,15.1,17.1,14.5,16.5,6.8,
26.0,20.8,15.5,,,18.2,16.1,9.1,19.9,21.9,6.1,20.0,,18.9,16.1,18.1,15.1,17.4,,4.9
27.0,22.0,16.3,,,19.2,16.8,9.6,20.9,23.1,6.4,21.0,,19.6,17.0,18.9,,18.3,7.3,
28.0,23.1,17.2,10.1,4.8,20.1,17.4,10.1,22.1,24.0,,21.8,,20.6,18.2,19.6,15.7,19.3,,
29.0,24.6,18.2,,5.4,21.0,18.4,10.7,23.6,25.3,7.0,23.0,7.1,21.6,19.0,21.1,17.2,20.3,7.8,5.9
30.0,25.9,19.1,,5.8,21.9,19.4,11.4,24.8,26.3,7.9,24.4,,22.3,19.6,22.7,,21.3,,
